stress,level,seed,gcs_cost,gcs_failures,replan_cost,delta_vs_replan
probe_cost,0.08,0,65.2800,0.0000,140.4500,-75.1700
probe_cost,0.50,0,72.0000,0.0000,140.4500,-68.4500
probe_cost,1.00,0,80.0000,0.0000,140.4500,-60.4500
probe_cost,2.00,0,96.0000,0.0000,140.4500,-44.4500
probe_cost,4.00,0,128.0000,0.0000,140.4500,-12.4500
probe_cost,6.00,0,160.0000,0.0000,140.4500,19.5500
guard_error,0.00,0,65.2800,0.0000,140.4500,-75.1700
guard_error,0.05,0,70.4700,0.8050,140.4500,-69.9800
guard_error,0.10,0,75.0700,1.5250,140.4500,-65.3800
guard_error,0.20,0,85.9300,3.2500,140.4500,-54.5200
guard_error,0.40,0,102.2700,5.8050,140.4500,-38.1800
guard_error,0.80,0,129.1700,10.0650,140.4500,-11.2800
guard_error,1.00,0,141.2800,12.0000,140.4500,0.8300
probe_cost,0.08,1,65.2800,0.0000,141.8800,-76.6000
probe_cost,0.50,1,72.0000,0.0000,141.8800,-69.8800
probe_cost,1.00,1,80.0000,0.0000,141.8800,-61.8800
probe_cost,2.00,1,96.0000,0.0000,141.8800,-45.8800
probe_cost,4.00,1,128.0000,0.0000,141.8800,-13.8800
probe_cost,6.00,1,160.0000,0.0000,141.8800,18.1200
guard_error,0.00,1,65.2800,0.0000,141.8800,-76.6000
guard_error,0.05,1,71.0400,0.9050,141.8800,-70.8400
guard_error,0.10,1,74.6300,1.4650,141.8800,-67.2500
guard_error,0.20,1,84.6000,3.0450,141.8800,-57.2800
guard_error,0.40,1,101.3500,5.6200,141.8800,-40.5300
guard_error,0.80,1,131.5400,10.2200,141.8800,-10.3400
guard_error,1.00,1,143.2800,12.0000,141.8800,1.4000
probe_cost,0.08,2,65.2800,0.0000,143.9200,-78.6400
probe_cost,0.50,2,72.0000,0.0000,143.9200,-71.9200
probe_cost,1.00,2,80.0000,0.0000,143.9200,-63.9200
probe_cost,2.00,2,96.0000,0.0000,143.9200,-47.9200
probe_cost,4.00,2,128.0000,0.0000,143.9200,-15.9200
probe_cost,6.00,2,160.0000,0.0000,143.9200,16.0800
guard_error,0.00,2,65.2800,0.0000,143.9200,-78.6400
guard_error,0.05,2,70.7000,0.8000,143.9200,-73.2200
guard_error,0.10,2,76.0800,1.5950,143.9200,-67.8400
guard_error,0.20,2,86.9900,3.2600,143.9200,-56.9300
guard_error,0.40,2,105.3400,5.9700,143.9200,-38.5800
guard_error,0.80,2,138.0700,10.9500,143.9200,-5.8500
guard_error,1.00,2,151.2800,13.0000,143.9200,7.3600
probe_cost,0.08,3,65.2800,0.0000,147.3600,-82.0800
probe_cost,0.50,3,72.0000,0.0000,147.3600,-75.3600
probe_cost,1.00,3,80.0000,0.0000,147.3600,-67.3600
probe_cost,2.00,3,96.0000,0.0000,147.3600,-51.3600
probe_cost,4.00,3,128.0000,0.0000,147.3600,-19.3600
probe_cost,6.00,3,160.0000,0.0000,147.3600,12.6400
guard_error,0.00,3,65.2800,0.0000,147.3600,-82.0800
guard_error,0.05,3,71.0500,0.8550,147.3600,-76.3100
guard_error,0.10,3,75.9700,1.5700,147.3600,-71.3900
guard_error,0.20,3,85.6200,3.0350,147.3600,-61.7400
guard_error,0.40,3,104.9300,5.9100,147.3600,-42.4300
guard_error,0.80,3,137.6500,10.8600,147.3600,-9.7100
guard_error,1.00,3,151.2800,13.0000,147.3600,3.9200
probe_cost,0.08,4,65.2800,0.0000,147.8800,-82.6000
probe_cost,0.50,4,72.0000,0.0000,147.8800,-75.8800
probe_cost,1.00,4,80.0000,0.0000,147.8800,-67.8800
probe_cost,2.00,4,96.0000,0.0000,147.8800,-51.8800
probe_cost,4.00,4,128.0000,0.0000,147.8800,-19.8800
probe_cost,6.00,4,160.0000,0.0000,147.8800,12.1200
guard_error,0.00,4,65.2800,0.0000,147.8800,-82.6000
guard_error,0.05,4,70.5400,0.7950,147.8800,-77.3400
guard_error,0.10,4,74.9400,1.4600,147.8800,-72.9400
guard_error,0.20,4,84.9100,2.9800,147.8800,-62.9700
guard_error,0.40,4,103.8300,5.8350,147.8800,-44.0500
guard_error,0.80,4,137.2200,10.8750,147.8800,-10.6600
guard_error,1.00,4,151.2800,13.0000,147.8800,3.4000
probe_cost,0.08,5,65.2800,0.0000,143.2400,-77.9600
probe_cost,0.50,5,72.0000,0.0000,143.2400,-71.2400
probe_cost,1.00,5,80.0000,0.0000,143.2400,-63.2400
probe_cost,2.00,5,96.0000,0.0000,143.2400,-47.2400
probe_cost,4.00,5,128.0000,0.0000,143.2400,-15.2400
probe_cost,6.00,5,160.0000,0.0000,143.2400,16.7600
guard_error,0.00,5,65.2800,0.0000,143.2400,-77.9600
guard_error,0.05,5,71.1300,0.8500,143.2400,-72.1100
guard_error,0.10,5,76.6900,1.6900,143.2400,-66.5500
guard_error,0.20,5,86.3200,3.0400,143.2400,-56.9200
guard_error,0.40,5,102.6100,5.4450,143.2400,-40.6300
guard_error,0.80,5,134.0100,10.0450,143.2400,-9.2300
guard_error,1.00,5,147.2800,12.0000,143.2400,4.0400
probe_cost,0.08,6,65.2800,0.0000,149.5400,-84.2600
probe_cost,0.50,6,72.0000,0.0000,149.5400,-77.5400
probe_cost,1.00,6,80.0000,0.0000,149.5400,-69.5400
probe_cost,2.00,6,96.0000,0.0000,149.5400,-53.5400
probe_cost,4.00,6,128.0000,0.0000,149.5400,-21.5400
probe_cost,6.00,6,160.0000,0.0000,149.5400,10.4600
guard_error,0.00,6,65.2800,0.0000,149.5400,-84.2600
guard_error,0.05,6,70.5700,0.8000,149.5400,-78.9700
guard_error,0.10,6,75.1500,1.4850,149.5400,-74.3900
guard_error,0.20,6,85.1600,3.0100,149.5400,-64.3800
guard_error,0.40,6,105.7800,6.1050,149.5400,-43.7600
guard_error,0.80,6,138.3900,10.8550,149.5400,-11.1500
guard_error,1.00,6,153.2800,13.0000,149.5400,3.7400
probe_cost,0.08,7,65.2800,0.0000,145.2700,-79.9900
probe_cost,0.50,7,72.0000,0.0000,145.2700,-73.2700
probe_cost,1.00,7,80.0000,0.0000,145.2700,-65.2700
probe_cost,2.00,7,96.0000,0.0000,145.2700,-49.2700
probe_cost,4.00,7,128.0000,0.0000,145.2700,-17.2700
probe_cost,6.00,7,160.0000,0.0000,145.2700,14.7300
guard_error,0.00,7,65.2800,0.0000,145.2700,-79.9900
guard_error,0.05,7,70.2000,0.7700,145.2700,-75.0700
guard_error,0.10,7,74.9900,1.5150,145.2700,-70.2800
guard_error,0.20,7,85.5200,3.1700,145.2700,-59.7500
guard_error,0.40,7,103.8400,6.0350,145.2700,-41.4300
guard_error,0.80,7,139.5200,11.5500,145.2700,-5.7500
guard_error,1.00,7,155.2800,14.0000,145.2700,10.0100
probe_cost,0.08,8,65.2800,0.0000,152.4400,-87.1600
probe_cost,0.50,8,72.0000,0.0000,152.4400,-80.4400
probe_cost,1.00,8,80.0000,0.0000,152.4400,-72.4400
probe_cost,2.00,8,96.0000,0.0000,152.4400,-56.4400
probe_cost,4.00,8,128.0000,0.0000,152.4400,-24.4400
probe_cost,6.00,8,160.0000,0.0000,152.4400,7.5600
guard_error,0.00,8,65.2800,0.0000,152.4400,-87.1600
guard_error,0.05,8,70.9800,0.8600,152.4400,-81.4600
guard_error,0.10,8,74.8800,1.4600,152.4400,-77.5600
guard_error,0.20,8,86.7700,3.2300,152.4400,-65.6700
guard_error,0.40,8,106.2300,6.1400,152.4400,-46.2100
guard_error,0.80,8,142.0900,11.4800,152.4400,-10.3500
guard_error,1.00,8,159.2800,14.0000,152.4400,6.8400
probe_cost,0.08,9,65.2800,0.0000,150.5000,-85.2200
probe_cost,0.50,9,72.0000,0.0000,150.5000,-78.5000
probe_cost,1.00,9,80.0000,0.0000,150.5000,-70.5000
probe_cost,2.00,9,96.0000,0.0000,150.5000,-54.5000
probe_cost,4.00,9,128.0000,0.0000,150.5000,-22.5000
probe_cost,6.00,9,160.0000,0.0000,150.5000,9.5000
guard_error,0.00,9,65.2800,0.0000,150.5000,-85.2200
guard_error,0.05,9,70.7400,0.7850,150.5000,-79.7600
guard_error,0.10,9,74.6400,1.3900,150.5000,-75.8600
guard_error,0.20,9,86.7900,3.1400,150.5000,-63.7100
guard_error,0.40,9,104.2600,5.7100,150.5000,-46.2400
guard_error,0.80,9,139.4400,10.9250,150.5000,-11.0600
guard_error,1.00,9,153.2800,13.0000,150.5000,2.7800
probe_cost,0.08,10,65.2800,0.0000,149.6500,-84.3700
probe_cost,0.50,10,72.0000,0.0000,149.6500,-77.6500
probe_cost,1.00,10,80.0000,0.0000,149.6500,-69.6500
probe_cost,2.00,10,96.0000,0.0000,149.6500,-53.6500
probe_cost,4.00,10,128.0000,0.0000,149.6500,-21.6500
probe_cost,6.00,10,160.0000,0.0000,149.6500,10.3500
guard_error,0.00,10,65.2800,0.0000,149.6500,-84.3700
guard_error,0.05,10,71.3000,0.8850,149.6500,-78.3500
guard_error,0.10,10,75.9800,1.5800,149.6500,-73.6700
guard_error,0.20,10,85.7200,3.0550,149.6500,-63.9300
guard_error,0.40,10,105.4200,5.9750,149.6500,-44.2300
guard_error,0.80,10,143.5400,11.6600,149.6500,-6.1100
guard_error,1.00,10,159.2800,14.0000,149.6500,9.6300
probe_cost,0.08,11,65.2800,0.0000,149.2100,-83.9300
probe_cost,0.50,11,72.0000,0.0000,149.2100,-77.2100
probe_cost,1.00,11,80.0000,0.0000,149.2100,-69.2100
probe_cost,2.00,11,96.0000,0.0000,149.2100,-53.2100
probe_cost,4.00,11,128.0000,0.0000,149.2100,-21.2100
probe_cost,6.00,11,160.0000,0.0000,149.2100,10.7900
guard_error,0.00,11,65.2800,0.0000,149.2100,-83.9300
guard_error,0.05,11,70.3200,0.7750,149.2100,-78.8900
guard_error,0.10,11,75.6100,1.5850,149.2100,-73.6000
guard_error,0.20,11,84.7000,2.9300,149.2100,-64.5100
guard_error,0.40,11,104.8300,5.9050,149.2100,-44.3800
guard_error,0.80,11,139.3600,10.9900,149.2100,-9.8500
guard_error,1.00,11,153.2800,13.0000,149.2100,4.0700
probe_cost,0.08,12,65.2000,0.0000,147.2700,-82.0700
probe_cost,0.50,12,71.5000,0.0000,147.2700,-75.7700
probe_cost,1.00,12,79.0000,0.0000,147.2700,-68.2700
probe_cost,2.00,12,94.0000,0.0000,147.2700,-53.2700
probe_cost,4.00,12,124.0000,0.0000,147.2700,-23.2700
probe_cost,6.00,12,154.0000,0.0000,147.2700,6.7300
guard_error,0.00,12,65.2000,0.0000,147.2700,-82.0700
guard_error,0.05,12,70.8700,0.8100,147.2700,-76.4000
guard_error,0.10,12,75.9900,1.5400,147.2700,-71.2800
guard_error,0.20,12,86.0300,2.9500,147.2700,-61.2400
guard_error,0.40,12,105.7200,5.7350,147.2700,-41.5500
guard_error,0.80,12,141.7300,10.8200,147.2700,-5.5400
guard_error,1.00,12,157.2000,13.0000,147.2700,9.9300
probe_cost,0.08,13,65.2000,0.0000,137.7400,-72.5400
probe_cost,0.50,13,71.5000,0.0000,137.7400,-66.2400
probe_cost,1.00,13,79.0000,0.0000,137.7400,-58.7400
probe_cost,2.00,13,94.0000,0.0000,137.7400,-43.7400
probe_cost,4.00,13,124.0000,0.0000,137.7400,-13.7400
probe_cost,6.00,13,154.0000,0.0000,137.7400,16.2600
guard_error,0.00,13,65.2000,0.0000,137.7400,-72.5400
guard_error,0.05,13,70.4700,0.7700,137.7400,-67.2700
guard_error,0.10,13,75.2800,1.4700,137.7400,-62.4600
guard_error,0.20,13,83.8700,2.7350,137.7400,-53.8700
guard_error,0.40,13,101.8100,5.3500,137.7400,-35.9300
guard_error,0.80,13,129.2000,9.3050,137.7400,-8.5400
guard_error,1.00,13,141.2000,11.0000,137.7400,3.4600
probe_cost,0.08,14,65.2800,0.0000,141.2700,-75.9900
probe_cost,0.50,14,72.0000,0.0000,141.2700,-69.2700
probe_cost,1.00,14,80.0000,0.0000,141.2700,-61.2700
probe_cost,2.00,14,96.0000,0.0000,141.2700,-45.2700
probe_cost,4.00,14,128.0000,0.0000,141.2700,-13.2700
probe_cost,6.00,14,160.0000,0.0000,141.2700,18.7300
guard_error,0.00,14,65.2800,0.0000,141.2700,-75.9900
guard_error,0.05,14,70.5400,0.7550,141.2700,-70.7300
guard_error,0.10,14,76.5900,1.6650,141.2700,-64.6800
guard_error,0.20,14,85.4400,2.9400,141.2700,-55.8300
guard_error,0.40,14,104.6500,5.7050,141.2700,-36.6200
guard_error,0.80,14,130.8200,9.5050,141.2700,-10.4500
guard_error,1.00,14,141.2800,11.0000,141.2700,0.0100
probe_cost,0.08,15,65.2800,0.0000,141.0200,-75.7400
probe_cost,0.50,15,72.0000,0.0000,141.0200,-69.0200
probe_cost,1.00,15,80.0000,0.0000,141.0200,-61.0200
probe_cost,2.00,15,96.0000,0.0000,141.0200,-45.0200
probe_cost,4.00,15,128.0000,0.0000,141.0200,-13.0200
probe_cost,6.00,15,160.0000,0.0000,141.0200,18.9800
guard_error,0.00,15,65.2800,0.0000,141.0200,-75.7400
guard_error,0.05,15,70.9100,0.8150,141.0200,-70.1100
guard_error,0.10,15,75.4800,1.4750,141.0200,-65.5400
guard_error,0.20,15,85.3600,2.8450,141.0200,-55.6600
guard_error,0.40,15,103.6600,5.5150,141.0200,-37.3600
guard_error,0.80,15,131.5400,9.5650,141.0200,-9.4800
guard_error,1.00,15,141.2800,11.0000,141.0200,0.2600
probe_cost,0.08,16,65.2000,0.0000,136.7600,-71.5600
probe_cost,0.50,16,71.5000,0.0000,136.7600,-65.2600
probe_cost,1.00,16,79.0000,0.0000,136.7600,-57.7600
probe_cost,2.00,16,94.0000,0.0000,136.7600,-42.7600
probe_cost,4.00,16,124.0000,0.0000,136.7600,-12.7600
probe_cost,6.00,16,154.0000,0.0000,136.7600,17.2400
guard_error,0.00,16,65.2000,0.0000,136.7600,-71.5600
guard_error,0.05,16,70.3600,0.7350,136.7600,-66.4000
guard_error,0.10,16,75.5000,1.5000,136.7600,-61.2600
guard_error,0.20,16,84.8200,2.8750,136.7600,-51.9400
guard_error,0.40,16,102.0100,5.3500,136.7600,-34.7500
guard_error,0.80,16,129.2600,9.4500,136.7600,-7.5000
guard_error,1.00,16,139.2000,11.0000,136.7600,2.4400
probe_cost,0.08,17,65.2800,0.0000,141.7100,-76.4300
probe_cost,0.50,17,72.0000,0.0000,141.7100,-69.7100
probe_cost,1.00,17,80.0000,0.0000,141.7100,-61.7100
probe_cost,2.00,17,96.0000,0.0000,141.7100,-45.7100
probe_cost,4.00,17,128.0000,0.0000,141.7100,-13.7100
probe_cost,6.00,17,160.0000,0.0000,141.7100,18.2900
guard_error,0.00,17,65.2800,0.0000,141.7100,-76.4300
guard_error,0.05,17,69.6600,0.6400,141.7100,-72.0500
guard_error,0.10,17,75.2900,1.4550,141.7100,-66.4200
guard_error,0.20,17,87.2200,3.1950,141.7100,-54.4900
guard_error,0.40,17,106.3900,6.0350,141.7100,-35.3200
guard_error,0.80,17,134.9000,10.3600,141.7100,-6.8100
guard_error,1.00,17,145.2800,12.0000,141.7100,3.5700
probe_cost,0.08,18,65.2800,0.0000,143.5600,-78.2800
probe_cost,0.50,18,72.0000,0.0000,143.5600,-71.5600
probe_cost,1.00,18,80.0000,0.0000,143.5600,-63.5600
probe_cost,2.00,18,96.0000,0.0000,143.5600,-47.5600
probe_cost,4.00,18,128.0000,0.0000,143.5600,-15.5600
probe_cost,6.00,18,160.0000,0.0000,143.5600,16.4400
guard_error,0.00,18,65.2800,0.0000,143.5600,-78.2800
guard_error,0.05,18,70.8700,0.8550,143.5600,-72.6900
guard_error,0.10,18,75.7600,1.5550,143.5600,-67.8000
guard_error,0.20,18,86.1700,3.0850,143.5600,-57.3900
guard_error,0.40,18,104.1200,5.7750,143.5600,-39.4400
guard_error,0.80,18,134.5000,10.3400,143.5600,-9.0600
guard_error,1.00,18,145.2800,12.0000,143.5600,1.7200
probe_cost,0.08,19,65.2800,0.0000,140.6600,-75.3800
probe_cost,0.50,19,72.0000,0.0000,140.6600,-68.6600
probe_cost,1.00,19,80.0000,0.0000,140.6600,-60.6600
probe_cost,2.00,19,96.0000,0.0000,140.6600,-44.6600
probe_cost,4.00,19,128.0000,0.0000,140.6600,-12.6600
probe_cost,6.00,19,160.0000,0.0000,140.6600,19.3400
guard_error,0.00,19,65.2800,0.0000,140.6600,-75.3800
guard_error,0.05,19,70.7600,0.8200,140.6600,-69.9000
guard_error,0.10,19,76.5600,1.6650,140.6600,-64.1000
guard_error,0.20,19,85.6700,3.0250,140.6600,-54.9900
guard_error,0.40,19,106.0200,6.0400,140.6600,-34.6400
guard_error,0.80,19,138.6500,10.8500,140.6600,-2.0100
guard_error,1.00,19,153.2800,13.0000,140.6600,12.6200
probe_cost,0.08,20,65.2800,0.0000,147.8900,-82.6100
probe_cost,0.50,20,72.0000,0.0000,147.8900,-75.8900
probe_cost,1.00,20,80.0000,0.0000,147.8900,-67.8900
probe_cost,2.00,20,96.0000,0.0000,147.8900,-51.8900
probe_cost,4.00,20,128.0000,0.0000,147.8900,-19.8900
probe_cost,6.00,20,160.0000,0.0000,147.8900,12.1100
guard_error,0.00,20,65.2800,0.0000,147.8900,-82.6100
guard_error,0.05,20,70.2900,0.7300,147.8900,-77.6000
guard_error,0.10,20,75.7500,1.5300,147.8900,-72.1400
guard_error,0.20,20,86.7600,3.1300,147.8900,-61.1300
guard_error,0.40,20,107.1800,6.1150,147.8900,-40.7100
guard_error,0.80,20,139.7500,10.9400,147.8900,-8.1400
guard_error,1.00,20,153.2800,13.0000,147.8900,5.3900
probe_cost,0.08,21,65.2000,0.0000,136.0600,-70.8600
probe_cost,0.50,21,71.5000,0.0000,136.0600,-64.5600
probe_cost,1.00,21,79.0000,0.0000,136.0600,-57.0600
probe_cost,2.00,21,94.0000,0.0000,136.0600,-42.0600
probe_cost,4.00,21,124.0000,0.0000,136.0600,-12.0600
probe_cost,6.00,21,154.0000,0.0000,136.0600,17.9400
guard_error,0.00,21,65.2000,0.0000,136.0600,-70.8600
guard_error,0.05,21,69.7200,0.6750,136.0600,-66.3400
guard_error,0.10,21,75.5700,1.5500,136.0600,-60.4900
guard_error,0.20,21,84.9200,2.9700,136.0600,-51.1400
guard_error,0.40,21,102.8600,5.7050,136.0600,-33.2000
guard_error,0.80,21,131.2700,10.0950,136.0600,-4.7900
guard_error,1.00,21,143.2000,12.0000,136.0600,7.1400
probe_cost,0.08,22,65.2000,0.0000,142.1200,-76.9200
probe_cost,0.50,22,71.5000,0.0000,142.1200,-70.6200
probe_cost,1.00,22,79.0000,0.0000,142.1200,-63.1200
probe_cost,2.00,22,94.0000,0.0000,142.1200,-48.1200
probe_cost,4.00,22,124.0000,0.0000,142.1200,-18.1200
probe_cost,6.00,22,154.0000,0.0000,142.1200,11.8800
guard_error,0.00,22,65.2000,0.0000,142.1200,-76.9200
guard_error,0.05,22,69.9400,0.7300,142.1200,-72.1800
guard_error,0.10,22,74.8400,1.4600,142.1200,-67.2800
guard_error,0.20,22,83.7000,2.8100,142.1200,-58.4200
guard_error,0.40,22,101.2600,5.4850,142.1200,-40.8600
guard_error,0.80,22,130.0100,9.7750,142.1200,-12.1100
guard_error,1.00,22,145.2000,12.0000,142.1200,3.0800
probe_cost,0.08,23,65.2800,0.0000,135.4400,-70.1600
probe_cost,0.50,23,72.0000,0.0000,135.4400,-63.4400
probe_cost,1.00,23,80.0000,0.0000,135.4400,-55.4400
probe_cost,2.00,23,96.0000,0.0000,135.4400,-39.4400
probe_cost,4.00,23,128.0000,0.0000,135.4400,-7.4400
probe_cost,6.00,23,160.0000,0.0000,135.4400,24.5600
guard_error,0.00,23,65.2800,0.0000,135.4400,-70.1600
guard_error,0.05,23,70.3500,0.7650,135.4400,-65.0900
guard_error,0.10,23,75.3200,1.5200,135.4400,-60.1200
guard_error,0.20,23,85.9500,3.1200,135.4400,-49.4900
guard_error,0.40,23,102.0500,5.5650,135.4400,-33.3900
guard_error,0.80,23,128.1300,9.5600,135.4400,-7.3100
guard_error,1.00,23,137.2800,11.0000,135.4400,1.8400
probe_cost,0.08,24,65.2800,0.0000,141.8600,-76.5800
probe_cost,0.50,24,72.0000,0.0000,141.8600,-69.8600
probe_cost,1.00,24,80.0000,0.0000,141.8600,-61.8600
probe_cost,2.00,24,96.0000,0.0000,141.8600,-45.8600
probe_cost,4.00,24,128.0000,0.0000,141.8600,-13.8600
probe_cost,6.00,24,160.0000,0.0000,141.8600,18.1400
guard_error,0.00,24,65.2800,0.0000,141.8600,-76.5800
guard_error,0.05,24,70.4900,0.8000,141.8600,-71.3700
guard_error,0.10,24,75.1400,1.5000,141.8600,-66.7200
guard_error,0.20,24,84.6800,2.9750,141.8600,-57.1800
guard_error,0.40,24,101.9700,5.6450,141.8600,-39.8900
guard_error,0.80,24,131.8400,10.2300,141.8600,-10.0200
guard_error,1.00,24,143.2800,12.0000,141.8600,1.4200
probe_cost,0.08,25,65.2800,0.0000,151.2300,-85.9500
probe_cost,0.50,25,72.0000,0.0000,151.2300,-79.2300
probe_cost,1.00,25,80.0000,0.0000,151.2300,-71.2300
probe_cost,2.00,25,96.0000,0.0000,151.2300,-55.2300
probe_cost,4.00,25,128.0000,0.0000,151.2300,-23.2300
probe_cost,6.00,25,160.0000,0.0000,151.2300,8.7700
guard_error,0.00,25,65.2800,0.0000,151.2300,-85.9500
guard_error,0.05,25,71.1100,0.8400,151.2300,-80.1200
guard_error,0.10,25,75.2800,1.4650,151.2300,-75.9500
guard_error,0.20,25,86.6100,3.1000,151.2300,-64.6200
guard_error,0.40,25,105.4700,5.7750,151.2300,-45.7600
guard_error,0.80,25,142.1800,10.9200,151.2300,-9.0500
guard_error,1.00,25,157.2800,13.0000,151.2300,6.0500
probe_cost,0.08,26,65.2800,0.0000,145.2500,-79.9700
probe_cost,0.50,26,72.0000,0.0000,145.2500,-73.2500
probe_cost,1.00,26,80.0000,0.0000,145.2500,-65.2500
probe_cost,2.00,26,96.0000,0.0000,145.2500,-49.2500
probe_cost,4.00,26,128.0000,0.0000,145.2500,-17.2500
probe_cost,6.00,26,160.0000,0.0000,145.2500,14.7500
guard_error,0.00,26,65.2800,0.0000,145.2500,-79.9700
guard_error,0.05,26,70.7000,0.7550,145.2500,-74.5500
guard_error,0.10,26,75.6100,1.4000,145.2500,-69.6400
guard_error,0.20,26,87.3800,3.0250,145.2500,-57.8700
guard_error,0.40,26,107.9800,5.8800,145.2500,-37.2700
guard_error,0.80,26,138.2000,10.1150,145.2500,-7.0500
guard_error,1.00,26,151.2800,12.0000,145.2500,6.0300
probe_cost,0.08,27,65.2000,0.0000,136.6800,-71.4800
probe_cost,0.50,27,71.5000,0.0000,136.6800,-65.1800
probe_cost,1.00,27,79.0000,0.0000,136.6800,-57.6800
probe_cost,2.00,27,94.0000,0.0000,136.6800,-42.6800
probe_cost,4.00,27,124.0000,0.0000,136.6800,-12.6800
probe_cost,6.00,27,154.0000,0.0000,136.6800,17.3200
guard_error,0.00,27,65.2000,0.0000,136.6800,-71.4800
guard_error,0.05,27,69.9500,0.7600,136.6800,-66.7300
guard_error,0.10,27,75.0900,1.5950,136.6800,-61.5900
guard_error,0.20,27,84.1600,3.0150,136.6800,-52.5200
guard_error,0.40,27,99.0100,5.3850,136.6800,-37.6700
guard_error,0.80,27,129.3000,10.1550,136.6800,-7.3800
guard_error,1.00,27,141.2000,12.0000,136.6800,4.5200
probe_cost,0.08,28,65.2800,0.0000,145.7300,-80.4500
probe_cost,0.50,28,72.0000,0.0000,145.7300,-73.7300
probe_cost,1.00,28,80.0000,0.0000,145.7300,-65.7300
probe_cost,2.00,28,96.0000,0.0000,145.7300,-49.7300
probe_cost,4.00,28,128.0000,0.0000,145.7300,-17.7300
probe_cost,6.00,28,160.0000,0.0000,145.7300,14.2700
guard_error,0.00,28,65.2800,0.0000,145.7300,-80.4500
guard_error,0.05,28,69.9900,0.6900,145.7300,-75.7400
guard_error,0.10,28,76.2200,1.5900,145.7300,-69.5100
guard_error,0.20,28,85.4900,2.9500,145.7300,-60.2400
guard_error,0.40,28,104.1800,5.6600,145.7300,-41.5500
guard_error,0.80,28,140.0800,11.0100,145.7300,-5.6500
guard_error,1.00,28,153.2800,13.0000,145.7300,7.5500
probe_cost,0.08,29,65.2000,0.0000,140.6000,-75.4000
probe_cost,0.50,29,71.5000,0.0000,140.6000,-69.1000
probe_cost,1.00,29,79.0000,0.0000,140.6000,-61.6000
probe_cost,2.00,29,94.0000,0.0000,140.6000,-46.6000
probe_cost,4.00,29,124.0000,0.0000,140.6000,-16.6000
probe_cost,6.00,29,154.0000,0.0000,140.6000,13.4000
guard_error,0.00,29,65.2000,0.0000,140.6000,-75.4000
guard_error,0.05,29,70.3300,0.7650,140.6000,-70.2700
guard_error,0.10,29,73.2600,1.2250,140.6000,-67.3400
guard_error,0.20,29,84.1600,2.8550,140.6000,-56.4400
guard_error,0.40,29,101.6000,5.4250,140.6000,-39.0000
guard_error,0.80,29,132.7600,10.1050,140.6000,-7.8400
guard_error,1.00,29,145.2000,12.0000,140.6000,4.6000
